Date,weekly runoff
2019-01-01,3.3082552
2019-01-02,3.2731798
2019-01-03,3.2483656
2019-01-04,3.2262633
2019-01-05,3.209799
2019-01-06,3.20009
2019-01-07,3.197554
2019-01-08,3.2028887
2019-01-09,3.212313
2019-01-10,3.2354357
2019-01-11,3.2639968
2019-01-12,3.3000736
2019-01-13,3.3438115
2019-01-14,3.394554
2019-01-15,3.4518464
2019-01-16,3.5107074
2019-01-17,3.5795293
2019-01-18,3.6488535
2019-01-19,3.719612
2019-01-20,3.7908933
2019-01-21,3.861107
2019-01-22,3.929019
2019-01-23,3.9890506
2019-01-24,4.0492034
2019-01-25,4.099852
2019-01-26,4.1419992
2019-01-27,4.175046
2019-01-28,4.197955
2019-01-29,4.2102804
2019-01-30,4.2074456
2019-01-31,4.1986513
2019-02-01,4.175639
2019-02-02,4.1409116
2019-02-03,4.095465
2019-02-04,4.039914
2019-02-05,3.975473
2019-02-06,3.8991952
2019-02-07,3.8218346
2019-02-08,3.7365668
2019-02-09,3.6471713
2019-02-10,3.5557313
2019-02-11,3.4637268
2019-02-12,3.3729935
2019-02-13,3.2809494
2019-02-14,3.1984434
2019-02-15,3.11848
2019-02-16,3.0444076
2019-02-17,2.9776337
2019-02-18,2.9187396
2019-02-19,2.868471
2019-02-20,2.8229954
2019-02-21,2.7917948
2019-02-22,2.7664282
2019-02-23,2.7487688
2019-02-24,2.7387617
2019-02-25,2.7355847
2019-02-26,2.7386806
2019-02-27,2.7430546
2019-02-28,2.7571983
2019-03-01,2.771884
2019-03-02,2.7884188
2019-03-03,2.8064196
2019-03-04,2.8249786
2019-03-05,2.8436918
2019-03-06,2.8579476
2019-03-07,2.8768313
2019-03-08,2.8918948
2019-03-09,2.9053779
2019-03-10,2.9179482
2019-03-11,2.9298224
2019-03-12,2.9417531
2019-03-13,2.9502718
2019-03-14,2.9655485
2019-03-15,2.9801183
2019-03-16,2.9970639
2019-03-17,3.0177186
2019-03-18,3.0427604
2019-03-19,3.073177
2019-03-20,3.1054938
2019-03-21,3.1496277
2019-03-22,3.1976175
2019-03-23,3.2518187
2019-03-24,3.3126256
2019-03-25,3.3795955
2019-03-26,3.4524493
2019-03-27,3.5263383
2019-03-28,3.6097486
2019-03-29,3.693279
2019-03-30,3.7778866
2019-03-31,3.8626623
2019-04-01,3.9460027
2019-04-02,4.026656
2019-04-03,4.0990334
2019-04-04,4.1711435
2019-04-05,4.2333984
2019-04-06,4.286876
2019-04-07,4.331103
2019-04-08,4.365224
2019-04-09,4.3890333
2019-04-10,4.3982635
2019-04-11,4.402485
2019-04-12,4.3938684
2019-04-13,4.375401
2019-04-14,4.348609
2019-04-15,4.3146634
2019-04-16,4.275353
2019-04-17,4.228303
2019-04-18,4.1848125
2019-04-19,4.1385584
2019-04-20,4.093752
2019-04-21,4.0528164
2019-04-22,4.0174565
2019-04-23,3.9895995
2019-04-24,3.9665978
2019-04-25,3.959067
2019-04-26,3.9595954
2019-04-27,3.9709256
2019-04-28,3.9936666
2019-04-29,4.027414
2019-04-30,4.0717444
2019-05-01,4.1214952
2019-05-02,4.1846695
2019-05-03,4.251232
2019-05-04,4.3213754
2019-05-05,4.3933144
2019-05-06,4.4644885
2019-05-07,4.5326405
2019-05-08,4.5911555
2019-05-09,4.6470366
2019-05-10,4.6897445
2019-05-11,4.7194953
2019-05-12,4.7350807
2019-05-13,4.7350693
2019-05-14,4.7188654
2019-05-15,4.682026
2019-05-16,4.6341786
2019-05-17,4.5677996
2019-05-18,4.4864345
2019-05-19,4.392421
2019-05-20,4.2879925
2019-05-21,4.1762257
2019-05-22,4.056245
2019-05-23,3.9410224
2019-05-24,3.8260481
2019-05-25,3.7174401
2019-05-26,3.6195726
2019-05-27,3.536094
2019-05-28,3.470807
2019-05-29,3.4228184
2019-05-30,3.4043155
2019-05-31,3.4092207
2019-06-01,3.441322
2019-06-02,3.5019379
2019-06-03,3.590996
2019-06-04,3.7080002
2019-06-05,3.847284
2019-06-06,4.015911
2019-06-07,4.20247
2019-06-08,4.405357
2019-06-09,4.6206007
2019-06-10,4.8431063
2019-06-11,5.067788
2019-06-12,5.2849817
2019-06-13,5.498496
2019-06-14,5.694545
2019-06-15,5.870144
2019-06-16,6.0210366
2019-06-17,6.143006
2019-06-18,6.2330446
2019-06-19,6.2847824
2019-06-20,6.3065114
2019-06-21,6.2900624
2019-06-22,6.239117
2019-06-23,6.1570067
2019-06-24,6.047876
2019-06-25,5.9176764
2019-06-26,5.769391
2019-06-27,5.620837
2019-06-28,5.4733114
2019-06-29,5.339654
2019-06-30,5.2318015
2019-07-01,5.161708
2019-07-02,5.142102
2019-07-03,5.1814904
2019-07-04,5.3017683
2019-07-05,5.506685
2019-07-06,5.809772
2019-07-07,6.2217956
2019-07-08,6.751607
2019-07-09,7.4068837
2019-07-10,8.189153
2019-07-11,9.1114645
2019-07-12,10.166981
2019-07-13,11.357047
2019-07-14,12.678844
2019-07-15,14.126471
2019-07-16,15.691947
2019-07-17,17.360535
2019-07-18,19.128717
2019-07-19,20.973116
2019-07-20,22.878902
2019-07-21,24.827784
2019-07-22,26.799404
2019-07-23,28.772665
2019-07-24,30.721344
2019-07-25,32.63232
2019-07-26,34.474743
2019-07-27,36.22859
2019-07-28,37.872833
2019-07-29,39.386913
2019-07-30,40.75212
2019-07-31,41.94717
2019-08-01,42.966404
2019-08-02,43.788803
2019-08-03,44.406445
2019-08-04,44.812397
2019-08-05,45.00198
2019-08-06,44.97384
2019-08-07,44.725235
2019-08-08,44.269875
2019-08-09,43.60658
2019-08-10,42.747383
2019-08-11,41.70506
2019-08-12,40.49401
2019-08-13,39.13104
2019-08-14,37.630253
2019-08-15,36.020664
2019-08-16,34.31458
2019-08-17,32.535446
2019-08-18,30.705256
2019-08-19,28.84529
2019-08-20,26.976774
2019-08-21,25.115822
2019-08-22,23.290998
2019-08-23,21.5118
2019-08-24,19.796637
2019-08-25,18.160353
2019-08-26,16.615196
2019-08-27,15.17171
2019-08-28,13.833906
2019-08-29,12.617132
2019-08-30,11.516837
2019-08-31,10.536847
2019-09-01,9.677204
2019-09-02,8.935421
2019-09-03,8.307659
2019-09-04,7.7841735
2019-09-05,7.3674183
2019-09-06,7.0410304
2019-09-07,6.7982874
2019-09-08,6.6300907
2019-09-09,6.5263405
2019-09-10,6.4771733
2019-09-11,6.468451
2019-09-12,6.4998565
2019-09-13,6.5538373
2019-09-14,6.623989
2019-09-15,6.7029347
2019-09-16,6.783564
2019-09-17,6.86012
2019-09-18,6.9235086
2019-09-19,6.9792147
2019-09-20,7.0160503
2019-09-21,7.0343394
2019-09-22,7.0336065
2019-09-23,7.013627
2019-09-24,6.975341
2019-09-25,6.9160013
2019-09-26,6.8469496
2019-09-27,6.762246
2019-09-28,6.6667585
2019-09-29,6.5637794
2019-09-30,6.456033
2019-10-01,6.3465686
2019-10-02,6.233915
2019-10-03,6.129886
2019-10-04,6.0282574
2019-10-05,5.93293
2019-10-06,5.8456254
2019-10-07,5.7669992
2019-10-08,5.697633
2019-10-09,5.63331
2019-10-10,5.5829277
2019-10-11,5.537296
2019-10-12,5.497404
2019-10-13,5.462223
2019-10-14,5.4299054
2019-10-15,5.398859
2019-10-16,5.3630857
2019-10-17,5.3301444
2019-10-18,5.2899785
2019-10-19,5.2432017
2019-10-20,5.1888947
2019-10-21,5.1257915
2019-10-22,5.0533195
2019-10-23,4.966893
2019-10-24,4.8758206
2019-10-25,4.7720666
2019-10-26,4.6584625
2019-10-27,4.5364337
2019-10-28,4.407099
2019-10-29,4.272239
2019-10-30,4.1295147
2019-10-31,3.9903033
2019-11-01,3.8483999
2019-11-02,3.7081776
2019-11-03,3.5722673
2019-11-04,3.4426315
2019-11-05,3.3215103
2019-11-06,3.2066338
2019-11-07,3.109063
2019-11-08,3.0219076
2019-11-09,2.948514
2019-11-10,2.8901787
2019-11-11,2.847271
2019-11-12,2.820226
2019-11-13,2.804813
2019-11-14,2.8100357
2019-11-15,2.8269088
2019-11-16,2.856704
2019-11-17,2.8987188
2019-11-18,2.951451
2019-11-19,3.013636
2019-11-20,3.079557
2019-11-21,3.1569726
2019-11-22,3.2359202
2019-11-23,3.3169708
2019-11-24,3.399009
2019-11-25,3.4803972
2019-11-26,3.5600076
2019-11-27,3.632509
2019-11-28,3.7062712
2019-11-29,3.7721348
2019-11-30,3.8316343
2019-12-01,3.884737
2019-12-02,3.9309714
2019-12-03,3.9704168
2019-12-04,3.9989524
2019-12-05,4.026129
2019-12-06,4.0439024
2019-12-07,4.054834
2019-12-08,4.0598025
2019-12-09,4.059119
2019-12-10,4.053505
2019-12-11,4.039336
2019-12-12,4.0265174
2019-12-13,4.007222
2019-12-14,3.9841032
2019-12-15,3.9580245
2019-12-16,3.9291918
2019-12-17,3.8981555
2019-12-18,3.8610773
2019-12-19,3.8276274
2019-12-20,3.789749
2019-12-21,3.7498882
2019-12-22,3.7087474
2019-12-23,3.666429
2019-12-24,3.62345
2019-12-25,3.5760164
2019-12-26,3.5339208
